,gene_id,gene,From,Entry,Gene Names (primary),LOEUF,transcript,repressor,activator,sfari
798,ENSG00000197928,ZNF677,ZNF677,Q86XU0,ZNF677,1.201,ENST00000598513,True,False,False
799,ENSG00000181450,ZNF678,ZNF678,Q5SXM1,ZNF678,1.919,ENST00000343776,True,False,False
800,ENSG00000197123,ZNF679,ZNF679,Q8IYX0,ZNF679,1.377,ENST00000421025,False,False,False
801,ENSG00000173041,ZNF680,ZNF680,Q8NEM1,ZNF680,0.987,ENST00000309683,True,False,False
802,ENSG00000196172,ZNF681,ZNF681,Q96N22,ZNF681,0.869,ENST00000402377,False,False,False
803,ENSG00000197124,ZNF682,ZNF682,O95780,ZNF682,1.098,ENST00000397165,False,False,False
804,ENSG00000176083,ZNF683,ZNF683,Q8IZ20,ZNF683,0.929,ENST00000349618,True,False,False
805,ENSG00000117010,ZNF684,ZNF684,Q5T5D7,ZNF684,1.507,ENST00000372699,False,False,False
806,ENSG00000143373,ZNF687,ZNF687,Q8N1G0,ZNF687,0.293,ENST00000336715,True,True,False
807,ENSG00000229809,ZNF688,ZNF688,P0C7X2,ZNF688,1.362,ENST00000223459,False,False,False
808,ENSG00000156853,ZNF689,ZNF689,C0HLU2,ZNF689,0.632,ENST00000287461,False,False,False
809,ENSG00000156853,ZNF689,ZNF689,Q96CS4,ZNF689,0.632,ENST00000287461,False,False,False
810,ENSG00000198429,ZNF69,ZNF69,Q9UC07,ZNF69,1.137,ENST00000429654,False,False,False
811,ENSG00000164011,ZNF691,ZNF691,Q5VV52,ZNF691,0.728,ENST00000651192,True,False,False
812,ENSG00000171163,ZNF692,ZNF692,Q9BU19,ZNF692,1.109,ENST00000306601,True,False,False
813,ENSG00000197472,ZNF695,ZNF695,Q8IW36,ZNF695,1.782,ENST00000339986,False,False,False
814,ENSG00000185730,ZNF696,ZNF696,Q9H7X3,ZNF696,1.879,ENST00000330143,False,False,False
815,ENSG00000143067,ZNF697,ZNF697,Q5TEC3,ZNF697,1.712,ENST00000421812,True,False,False
816,ENSG00000196110,ZNF699,ZNF699,Q32M78,ZNF699,1.414,ENST00000591998,False,False,False
817,ENSG00000147789,ZNF7,ZNF7,P17097,ZNF7,1.401,ENST00000532777,False,False,False
818,ENSG00000187792,ZNF70,ZNF70,Q9UC06,ZNF70,0.67,ENST00000341976,False,False,False
819,ENSG00000196757,ZNF700,ZNF700,Q9H0M5,ZNF700,0.731,ENST00000254321,False,False,False
820,ENSG00000167562,ZNF701,ZNF701,Q9NV72,ZNF701,1.892,ENST00000391785,False,False,False
821,ENSG00000183779,ZNF703,ZNF703,Q9H7S9,ZNF703,1.576,ENST00000331569,True,False,False
822,ENSG00000164684,ZNF704,ZNF704,Q6ZNC4,ZNF704,0.384,ENST00000327835,True,False,False
823,ENSG00000196946,ZNF705A,ZNF705A,Q6ZN79,ZNF705A,1.348,ENST00000359286,False,False,False
824,ENSG00000215356,ZNF705B,ZNF705B,P0CI00,ZNF705B,,,False,False,False
825,ENSG00000215343,ZNF705D,ZNF705D,P0CH99,ZNF705D,1.809,ENST00000400078,False,False,False
826,ENSG00000214534,ZNF705E,ZNF705E,A8MWA4,ZNF705EP,1.189,ENST00000525199,True,False,False
827,ENSG00000215372,ZNF705G,ZNF705G,A8MUZ8,ZNF705G,1.871,ENST00000400156,False,False,False
828,ENSG00000120963,ZNF706,ZNF706,Q9Y5V0,ZNF706,1.009,ENST00000311212,False,False,False
829,ENSG00000181135,ZNF707,ZNF707,Q96C28,ZNF707,1.151,ENST00000358656,False,False,False
830,ENSG00000182141,ZNF708,ZNF708,P17019,ZNF708,1.304,ENST00000356929,True,False,False
831,ENSG00000242852,ZNF709,ZNF709,Q8N972,ZNF709,1.882,ENST00000397732,False,False,False
